author_id;paper_id;primary_contact;seq;first_name;affiliation;country;url
19838;10271;1;1;Érik;"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO NORTE
 - IFRN";BR;\N
19836;10260;0;4;André;"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO NORTE
 - IFRN";\N;\N
19834;10260;0;2;Fernando;"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO NORTE
 - IFRN";BR;\N
17423;9166;1;1;Victoria;"INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DE RONDÔNIA
 - IFRO";BR;\N
19853;10278;1;1;Marcos André;FACULDADE MAURÍCIO DE NASSAU DE MACEIÓ;BR;\N
17429;9166;0;3;Andreza;"INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DE RONDÔNIA
 - IFRO";BR;\N
17430;9166;0;4;Alice;"INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DE RONDÔNIA
 - IFRO";BR;\N
19854;10279;1;1;Maria;"INSTITUTO FEDERAL DE EDUCAçãO, CIêNCIA E TECNOLOGIA DO CEARá  - IFCE Campus/ Limoeiro do Norte-CE";BR;\N
19843;10272;1;1;Ana Carolyna;INSTITUTO FEDERAL DE ALAGOAS - CAMPUS MURICI;BR;\N
19855;10280;1;1;Alexsandra;"UNIVERSIDADE ESTADUAL DO CEARÁ
 - UECE";BR;\N
19835;10260;0;3;Valeria;"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO NORTE
 - IFRN";\N;\N
