"track_id","locale","setting_name","setting_value","setting_type"
"32","pt_BR","policy","\N","string"
"32","pt_BR","identifyType","\N","string"
"42","pt_BR","abbrev","PIBIC","string"
"23","pt_BR","title","PIBIC","string"
"23","pt_BR","abbrev","PIBIC","string"
"23","pt_BR","policy","\N","string"
"23","pt_BR","identifyType","\N","string"
"42","pt_BR","policy","\N","string"
"42","pt_BR","identifyType","\N","string"
"43","pt_BR","title","Submissões gerais","string"
"33","pt_BR","title","Ciências Biológicas","string"
"33","pt_BR","abbrev","CB","string"
"33","pt_BR","policy","\N","string"
"33","pt_BR","identifyType","\N","string"
"34","pt_BR","title","Engenharias","string"
"34","pt_BR","abbrev","ENG","string"
"34","pt_BR","policy","\N","string"
"34","pt_BR","identifyType","\N","string"
"35","pt_BR","title","Ciências da Saúde","string"
"43","pt_BR","abbrev","GEN","string"
"43","pt_BR","policy","\N","string"
"35","pt_BR","abbrev","CS","string"
"35","pt_BR","policy","\N","string"
"35","pt_BR","identifyType","\N","string"
"36","pt_BR","title","Ciências Agrárias","string"
"36","pt_BR","abbrev","CA","string"
"36","pt_BR","policy","\N","string"
"36","pt_BR","identifyType","\N","string"
"37","pt_BR","title","Ciências Sociais Aplicadas","string"
"37","pt_BR","abbrev","CSA","string"
"37","pt_BR","policy","\N","string"
"37","pt_BR","identifyType","\N","string"
"38","pt_BR","title","Ciências Humanas","string"
"38","pt_BR","abbrev","CH","string"
"38","pt_BR","policy","\N","string"
"38","pt_BR","identifyType","\N","string"
"39","pt_BR","title","Linguística, Letras e Artes","string"
"39","pt_BR","abbrev","LLA","string"
"39","pt_BR","policy","\N","string"
"39","pt_BR","identifyType","\N","string"
"40","pt_BR","title","Outros","string"
"40","pt_BR","abbrev","OUT","string"
"40","pt_BR","policy","\N","string"
"40","pt_BR","identifyType","\N","string"
"41","pt_BR","title","Submissões gerais","string"
"41","pt_BR","abbrev","GEN","string"
"48","pt_BR","policy","<object id=""ca0b59b9-e85a-9b83-b87a-2989f9af8eb9"" width=""0"" height=""0"" type=""application/gas-events-abn""></object>","string"
"48","pt_BR","abbrev","CA","string"
"48","pt_BR","identifyType","\N","string"
"49","pt_BR","abbrev","CB","string"
"49","pt_BR","policy","<object id=""187a2b88-48ab-8983-aaca-cb9658868d95"" width=""0"" height=""0"" type=""application/gas-events-abn""></object>","string"
"49","pt_BR","identifyType","\N","string"
"47","pt_BR","identifyType","\N","string"
"48","pt_BR","title","CIÊNCIAS AGRÁRIAS","string"
"49","pt_BR","title","CIÊNCIAS BIOLÓGICAS","string"
"56","pt_BR","policy","<object id=""9959a9c9-9849-b9bf-8b1a-c9b24a998692"" width=""0"" height=""0"" type=""application/gas-events-abn""></object>","string"
"56","pt_BR","identifyType","\N","string"
"57","pt_BR","title","CIÊNCIAS AGRÁRIAS","string"
"57","pt_BR","abbrev","CA","string"
"57","pt_BR","policy","<object id=""bb4a0a5b-19eb-a9a2-9bab-2b973a99989c"" width=""0"" height=""0"" type=""application/gas-events-abn""></object>","string"
"57","pt_BR","identifyType","\N","string"
"58","pt_BR","title","CIÊNCIAS BIOLÓGICAS","string"
"58","pt_BR","abbrev","CB","string"
"58","pt_BR","policy","<object id=""f8eb488a-d889-b8a1-69eb-e9933bb19c91"" width=""0"" height=""0"" type=""application/gas-events-abn""></object>","string"
"58","pt_BR","identifyType","\N","string"
"59","pt_BR","identifyType","\N","string"
"60","pt_BR","title","CIÊNCIAS HUMANAS","string"
"60","pt_BR","abbrev","CH","string"
"62","pt_BR","identifyType","\N","string"
"64","pt_BR","abbrev","MA","string"
"64","pt_BR","policy","<object id=""7afadbdb-eb58-aca5-49cb-b8b52ab2aab9"" width=""0"" height=""0"" type=""application/gas-events-abn""></object>","string"
"64","pt_BR","identifyType","\N","string"
"51","pt_BR","abbrev","CH","string"
"51","pt_BR","policy","<object id=""3a5bab79-5b78-aeb5-298a-389ee9b0b1ad"" width=""0"" height=""0"" type=""application/gas-events-abn""></object>","string"
"51","pt_BR","identifyType","\N","string"
"54","pt_BR","title","LINGUÍSTICA, LETRAS E ARTES","string"
"54","pt_BR","abbrev","LLA","string"
"54","pt_BR","policy","<object id=""abdb98ab-4a3b-9cb7-092a-faac9bb699ba"" width=""0"" height=""0"" type=""application/gas-events-abn""></object>","string"
"54","pt_BR","identifyType","\N","string"
"55","pt_BR","title","MEIO AMBIENTE","string"
"59","pt_BR","title","CIÊNCIAS DA SAÚDE","string"
"59","pt_BR","abbrev","CS","string"
"59","pt_BR","policy","<object id=""fb18d909-ba38-94a6-4b6b-5a94bbba9c87"" width=""0"" height=""0"" type=""application/gas-events-abn""></object>","string"
"52","pt_BR","title","CIÊNCIAS SOCIAIS APLICADAS","string"
"52","pt_BR","abbrev","CSA","string"
"52","pt_BR","policy","<object id=""48aa9b7b-7a79-9aa8-4978-38b09ab794b3"" width=""0"" height=""0"" type=""application/gas-events-abn""></object>","string"
"52","pt_BR","identifyType","\N","string"
"53","pt_BR","title","ENGENHARIAS","string"
"53","pt_BR","abbrev","ENG","string"
"53","pt_BR","policy","<object id=""d9a86bb9-ba7a-a4b1-7b08-e89578819c94"" width=""0"" height=""0"" type=""application/gas-events-abn""></object>","string"
"53","pt_BR","identifyType","\N","string"
"65","pt_BR","title","Submissões gerais","string"
"65","pt_BR","abbrev","GEN","string"
"65","pt_BR","policy","\N","string"
"55","pt_BR","abbrev","MA","string"
"55","pt_BR","policy","<object id=""ba4a6af9-d8f8-baa2-9a3a-4a860a85aea4"" width=""0"" height=""0"" type=""application/gas-events-abn""></object>","string"
"55","pt_BR","identifyType","\N","string"
"56","pt_BR","title","CIÊNCIAS EXATAS E DA TERRA","string"
"61","pt_BR","title","CIÊNCIAS SOCIAIS APLICADAS","string"
"61","pt_BR","abbrev","CSA","string"
"56","pt_BR","abbrev","CET","string"
"61","pt_BR","policy","<object id=""cb69fa58-48ea-9b81-dbaa-09b8098e809f"" width=""0"" height=""0"" type=""application/gas-events-abn""></object>","string"
"61","pt_BR","identifyType","\N","string"
"47","pt_BR","title","CIÊNCIAS EXATAS E DA TERRA","string"
"47","pt_BR","abbrev","CET","string"
"47","pt_BR","policy","<object id=""a8c9ea28-983a-afaa-1b89-7a963b868f86"" width=""0"" height=""0"" type=""application/gas-events-abn""></object>","string"
"50","pt_BR","title","CIÊNCIAS DA SAÚDE","string"
"50","pt_BR","abbrev","CS","string"
"50","pt_BR","policy","<object id=""5a0aab7a-2ab8-a493-bb5b-e98f3ba2b295"" width=""0"" height=""0"" type=""application/gas-events-abn""></object>","string"
"50","pt_BR","identifyType","\N","string"
"51","pt_BR","title","CIÊNCIAS HUMANAS","string"
"68","pt_BR","abbrev","MAC","string"
"68","pt_BR","policy","\N","string"
"68","pt_BR","identifyType","\N","string"
"69","pt_BR","title","MARAGOGI","string"
"67","pt_BR","abbrev","ARA","string"
"67","pt_BR","policy","\N","string"
"67","pt_BR","identifyType","\N","string"
"68","pt_BR","title","MACEIÓ","string"
"69","pt_BR","abbrev","MAR","string"
"69","pt_BR","policy","\N","string"
"70","pt_BR","title","MARECHAL DEODORO","string"
"70","pt_BR","policy","\N","string"
"70","pt_BR","identifyType","\N","string"
"71","pt_BR","title","MURICI","string"
"71","pt_BR","abbrev","MUR","string"
"71","pt_BR","policy","\N","string"
"71","pt_BR","identifyType","\N","string"
"72","pt_BR","title","PALMEIRA DOS ÍNDIOS","string"
"72","pt_BR","abbrev","PAL","string"
"72","pt_BR","policy","\N","string"
"72","pt_BR","identifyType","\N","string"
"73","pt_BR","title","PENEDO","string"
"73","pt_BR","abbrev","PEN","string"
"73","pt_BR","policy","\N","string"
"73","pt_BR","identifyType","\N","string"
"67","pt_BR","title","ARAPIRACA","string"
"69","pt_BR","identifyType","\N","string"
"70","pt_BR","abbrev","MAL","string"
"74","pt_BR","title","PIRANHAS","string"
"74","pt_BR","abbrev","PIR","string"
"74","pt_BR","policy","\N","string"
"74","pt_BR","identifyType","\N","string"
"75","pt_BR","title","SANTANA DO IPANEMA","string"
"75","pt_BR","abbrev","SAN","string"
"75","pt_BR","policy","\N","string"
"75","pt_BR","identifyType","\N","string"
"76","pt_BR","title","SÃO MIGUEL","string"
"76","pt_BR","abbrev","SAM","string"
"76","pt_BR","policy","\N","string"
"76","pt_BR","identifyType","\N","string"
"77","pt_BR","title","SATUBA","string"
"77","pt_BR","abbrev","SAT","string"
"77","pt_BR","policy","\N","string"
"77","pt_BR","identifyType","\N","string"
"80","pt_BR","title","ARAPIRACA","string"
"80","pt_BR","abbrev","ARA","string"
"80","pt_BR","policy","\N","string"
"80","pt_BR","identifyType","\N","string"
"81","pt_BR","title","MACEIÓ","string"
"81","pt_BR","abbrev","MAC","string"
"81","pt_BR","policy","<object id=""4a89d85b-fa2a-b695-bac9-7881baac95b2"" width=""0"" height=""0"" type=""application/gas-events-abn""></object>","string"
"81","pt_BR","identifyType","\N","string"
"82","pt_BR","title","MARAGOGI","string"
"82","pt_BR","abbrev","MAR","string"
"82","pt_BR","policy","<object id=""3a8b180a-580b-8187-1be9-0ab82ba8b2bf"" width=""0"" height=""0"" type=""application/gas-events-abn""></object>","string"
"82","pt_BR","identifyType","\N","string"
"83","pt_BR","title","MARECHAL DEODORO","string"
"83","pt_BR","abbrev","MAL","string"
"83","pt_BR","policy","<object id=""7be998ab-0a39-a793-dbd8-c8a01b8f9b9d"" width=""0"" height=""0"" type=""application/gas-events-abn""></object>","string"
"83","pt_BR","identifyType","\N","string"
"84","pt_BR","title","MURICI","string"
"84","pt_BR","abbrev","MUR","string"
"84","pt_BR","policy","<object id=""08398bfb-b92b-9f8b-da1a-399e5b8aa68f"" width=""0"" height=""0"" type=""application/gas-events-abn""></object>","string"
"84","pt_BR","identifyType","\N","string"
